mass xsecUnc
BulkG_ZZ_M1200 0.150
BulkG_ZZ_M1300 0.160
BulkG_ZZ_M1400 0.170
BulkG_ZZ_M1500 0.180
BulkG_ZZ_M1600 0.190
BulkG_ZZ_M1700 0.210
BulkG_ZZ_M1800 0.230
BulkG_ZZ_M1900 0.240
BulkG_ZZ_M2000 0.250
BulkG_ZZ_M2100 0.260
BulkG_ZZ_M2200 0.280
BulkG_ZZ_M2300 0.300
BulkG_ZZ_M2400 0.320
BulkG_ZZ_M2500 0.340
BulkG_ZZ_M2600 0.360
BulkG_ZZ_M2700 0.380
BulkG_ZZ_M2800 0.400
BulkG_ZZ_M2900 0.430
BulkG_ZZ_M3000 0.460
BulkG_ZZ_M3100 0.480
BulkG_ZZ_M3200 0.500
BulkG_ZZ_M3300 0.530
BulkG_ZZ_M3400 0.560
BulkG_ZZ_M3500 0.590
BulkG_ZZ_M3600 0.620
BulkG_ZZ_M3700 0.660
BulkG_ZZ_M3800 0.700
BulkG_ZZ_M3900 0.740
BulkG_ZZ_M4000 0.780
BulkG_ZZ_M4100 0.820
BulkG_ZZ_M4200 0.860
BulkG_ZZ_M4300 0.900
BulkG_ZZ_M4400 0.950
BulkG_ZZ_M4500 1.000
