mass xsecUnc
Wprime_WZ_M1200 0.0437757
Wprime_WZ_M1300 0.0450551
Wprime_WZ_M1400 0.0460551
Wprime_WZ_M1500 0.0473122
Wprime_WZ_M1600 0.0483122
Wprime_WZ_M1700 0.0493122
Wprime_WZ_M1800 0.0509453
Wprime_WZ_M1900 0.0523189
Wprime_WZ_M2000 0.0543189
Wprime_WZ_M2100 0.057189
Wprime_WZ_M2200 0.0593189
Wprime_WZ_M2300 0.0615156
Wprime_WZ_M2400 0.0635156
Wprime_WZ_M2500 0.0655156
Wprime_WZ_M2600 0.0665156
Wprime_WZ_M2700 0.0706863
Wprime_WZ_M2800 0.0756863
Wprime_WZ_M2900 0.0806863
Wprime_WZ_M3000 0.0846863
Wprime_WZ_M3100 0.0906863
Wprime_WZ_M3200 0.0986863
Wprime_WZ_M3300 0.102175
Wprime_WZ_M3400 0.11175
Wprime_WZ_M3500 0.118175
Wprime_WZ_M3600 0.128175
Wprime_WZ_M3700 0.13496
Wprime_WZ_M3800 0.1496
Wprime_WZ_M3900 0.16496
Wprime_WZ_M4000 0.18496
Wprime_WZ_M4100 0.20496
Wprime_WZ_M4200 0.22496
Wprime_WZ_M4300 0.247965
Wprime_WZ_M4400 0.27965
Wprime_WZ_M4500 0.307965
